t,count
13000,141
13020,139
13040,112
13060,86
13080,149
13100,112
13120,114
13140,141
13160,153
13180,132
13200,137
13220,130
13240,116
13260,143
13280,130
13300,147
13320,141
13340,136
13360,123
13380,154
13400,123
13420,140
13440,101
13460,139
13480,108
13500,142
13520,144
13540,109
13560,132
13580,122
13600,121
13620,136
13640,144
13660,129
13680,116
13700,139
13720,155
13740,123
13760,111
13780,128
13800,116
13820,118
13840,111
13860,131
13880,138
13900,120
13920,116
13940,124
13960,114
13980,111
14000,136
14020,117
14040,114
14060,133
14080,118
14100,115
14120,117
14140,140
14160,126
14180,169
14200,113
14220,144
14240,102
14260,118
14280,137
14300,112
14320,117
14340,138
14360,123
14380,123
14400,162
14420,116
14440,86
14460,150
14480,122
14500,157
14520,113
14540,138
14560,153
14580,125
14600,110
14620,133
14640,156
14660,155
14680,127
14700,98
14720,102
14740,118
14760,106
14780,125
14800,147
14820,162
14840,144
14860,107
14880,125
14900,124
14920,119
14940,112
14960,131
14980,132
15000,130
15020,96
15040,119
15060,122
15080,125
15100,163
15120,121
15140,116
15160,96
15180,134
15200,94
15220,158
15240,130
15260,121
15280,121
15300,118
15320,94
15340,104
15360,148
15380,114
15400,117
15420,121
15440,96
15460,131
15480,132
15500,110
15520,119
15540,126
15560,138
15580,111
15600,107
15620,117
15640,125
15660,120
15680,128
15700,120
15720,115
15740,142
15760,122
15780,143
15800,146
15820,124
15840,110
15860,99
15880,98
15900,96
15920,112
15940,129
15960,114
15980,149
16000,111
16020,127
16040,133
16060,93
16080,111
16100,127
16120,131
16140,113
16160,125
16180,145
16200,143
16220,145
16240,132
16260,125
16280,117
16300,111
16320,146
16340,122
16360,115
16380,142
16400,127
16420,142
16440,119
16460,115
16480,85
16500,121
16520,108
16540,134
16560,127
16580,109
16600,99
16620,132
16640,163
16660,123
16680,114
16700,159
16720,135
16740,103
16760,110
16780,131
16800,130
16820,115
16840,127
16860,118
16880,120
16900,130
16920,111
16940,123
16960,114
16980,112
17000,132
17020,121
17040,119
17060,117
17080,127
17100,125
17120,124
17140,138
17160,109
17180,119
17200,116
17220,102
17240,133
17260,116
17280,138
17300,125
17320,127
17340,141
17360,116
17380,131
17400,126
17420,128
17440,128
17460,124
17480,124
17500,114
17520,95
17540,112
17560,123
17580,120
17600,130
17620,118
17640,125
17660,108
17680,111
17700,112
17720,127
17740,133
17760,122
17780,128
17800,151
17820,107
17840,126
17860,143
17880,107
17900,116
17920,117
17940,88
17960,120
17980,123
18000,111
18020,122
18040,125
18060,138
18080,111
18100,130
18120,100
18140,125
18160,144
18180,110
18200,104
18220,127
18240,125
18260,125
18280,141
18300,106
18320,103
18340,106
18360,117
18380,102
18400,110
18420,71
18440,119
18460,99
18480,125
18500,105
18520,125
18540,110
18560,129
18580,133
18600,101
18620,99
18640,141
18660,96
18680,121
18700,121
18720,98
18740,109
18760,96
18780,126
18800,130
18820,135
18840,141
18860,145
18880,139
18900,99
18920,125
18940,132
18960,136
18980,97
19000,119
19020,100
19040,133
19060,136
19080,146
19100,112
19120,107
19140,124
19160,123
19180,79
19200,111
19220,104
19240,104
19260,108
19280,104
19300,124
19320,107
19340,108
19360,128
19380,88
19400,93
19420,118
19440,115
19460,122
19480,106
19500,111
19520,121
19540,112
19560,92
19580,104
19600,94
19620,92
19640,117
19660,86
19680,96
19700,100
19720,78
19740,148
19760,110
19780,106
19800,128
19820,100
19840,116
19860,127
19880,99
19900,115
19920,107
19940,91
19960,99
19980,92
20000,118
20020,89
20040,105
20060,117
20080,136
20100,108
20120,108
20140,90
20160,128
20180,123
20200,129
20220,100
20240,119
20260,133
20280,116
20300,103
20320,109
20340,151
20360,104
20380,115
20400,118
20420,131
20440,159
